"Code","SampleID","FieldID","Collector","Bag","T3","T4","GC","logT3","logT4","logGC","Site","Territory","Biol.Season","Year","Month","Day","Condition","Lat","Long","Geno.Sp","Cytb_Sp","Individual","Sex","Breeder","Anthropogenic"
1,"S21_2381","20210713-DG-02","DG",1,51.1,51.6,151.4,3.93378449720966,3.94352167248752,5.01992534100335,"GGPE","GGP - East","Dispersal",2021,7,13,"fresh",37.766702,-122.471125,NA,NA,NA,NA,NA,0.698412698
3,"S21_2380","20210713-DG-01","DG",1,78.3,95,197.7,4.36054760299676,4.55387689160054,5.28675073017657,"GGPE","GGP - East","Dispersal",2021,7,13,"fresh",37.766702,-122.471125,NA,NA,NA,NA,NA,0.045475856
11,"S21_2355","20210712-TC-11","TC",1,199.7,157.7,127.3,5.29681624042177,5.06069449396899,4.84654650556336,"SFGC","Merced","Dispersal",2021,7,12,"fresh",37.71244,-122.48019,NA,NA,NA,NA,NA,0
13,"S21_2350","20210712-TC-06","TC",1,83.2,138.3,279.3,4.42124734782716,4.92942523867071,5.63228647295113,"SFGC","Merced","Dispersal",2021,7,12,"fresh",37.71167,-122.48303,NA,NA,NA,NA,NA,0
16,"S21_2368","20210713-TC-09","TC",1,53.1,42,163.6,3.97217692824789,3.73766961828337,5.09742442416865,"LEND","Land's End","Dispersal",2021,7,13,"fresh",37.78283,-122.50904,"coyote",NA,"SFCoy12","Female","Yes",0.301723099
17,"S21_2365","20210713-TC-06","TC",1,55.4,45.7,240.5,4.01457959375324,3.82209829790016,5.48272008954582,"STMA","Bernal","Dispersal",2021,7,13,"fresh",37.73339,-122.42054,"coyote",NA,"SFCoy122","Male","",0.018035516
18,"S21_2375","20210714-TC-03","TC",1,46.5,40,104.6,3.83945231259331,3.68887945411394,4.65014355163082,"PRES","Presidio","Dispersal",2021,7,14,"fresh",37.79087,-122.46602,"coyote",NA,"SFCoy102","Female","",0
26,"S20_3772","20200812-TC-01","TC",30,56.3,84.2,192.9,4.03069453514564,4.43319492124828,5.26217191991168,"GGPE","GGP - East","Dispersal",2020,8,12,"fresh",37.76996,-122.47398,NA,"coyote",NA,NA,NA,0.744374121
31,"S20_3756","20200810-TC-02","TC",30,159.4,340.6,64.4,5.07141676635611,5.83070876822859,4.16511363311031,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70419,-122.49011,"coyote",NA,"SFCoy4","Male","Yes",0
32,"S20_3776","20200812-TC-06","TC",30,42.4,29.8,32.3,3.74714836223791,3.39450839351136,3.47506723022861,"GGPE","GGP - East","Dispersal",2020,8,12,"fresh",37.77038,-122.47424,"coyote","coyote","SFCoy70","Female","",0
33,"S20_3771","20200810-TC-17","TC",30,131.4,177.1,270.1,4.87824610605051,5.17671454478879,5.59879226079857,"BERN","Bernal","Dispersal",2020,8,10,"fresh",37.74312,-122.41281,NA,"coyote",NA,NA,NA,0.384345679
34,"S20_3777","20200812-TC-07","TC",30,29.6,40.2,79.9,3.38777436133001,3.69386699562498,4.38077585277223,"GGPE","GGP - East","Dispersal",2020,8,12,"fresh",37.77023,-122.47397,"coyote","coyote","SFCoy70","Female","",1
35,"S20_3765","20200810-TC-11","TC",30,50.4,54.1,44.3,3.91999117507732,3.99083418585244,3.79098467705109,"GLEN","Glen","Dispersal",2020,8,10,"fresh",37.7428,-122.4425,NA,"coyote",NA,NA,NA,0.195807993
36,"S20_3759","20200810-TC-05","TC",30,95.8,87,129.3,4.56226268497681,4.46590811865458,4.86213528577781,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70428,-122.48829,"coyote",NA,"SFCoy95","Male","Yes",0.389288569
38,"S20_3758","20200810-TC-04","TC",30,58.2,266.2,133.5,4.06388535473739,5.58424790596101,4.8941014778403,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70403,-122.48901,"coyote",NA,"SFCoy95","Male","Yes",0
39,"S20_3755","20200810-TC-01","TC",30,93.6,116.2,121.1,4.53903038348355,4.75531284441781,4.79661665055905,"OLYM","Merced","Dispersal",2020,8,10,"fresh",37.70485,-122.48852,"coyote",NA,"SFCoy20","Male","",0
42,"S20_3829","20200907-TC-04","TC",28,39.3,60.2,80,3.67122451887522,4.09767235231478,4.38202663467388,"PRES","Presidio","Dispersal",2020,9,7,"fresh",37.79217,-122.4508,"coyote","coyote","SFCoy24","Female","Yes",0.058776614
43,"S20_3836","20200907-TC-11","TC",28,34.5,60,55.1,3.54095932403731,4.0943445622221,4.00914971615887,"STMA","Bernal","Dispersal",2020,9,7,"fresh",37.73457,-122.42127,NA,"fail",NA,NA,NA,0.807655643
44,"S20_3839","20200907-TC-14","TC",28,37.9,59.9,123.2,3.63495111208838,4.0926765051214,4.81380905109942,"STMA","Bernal","Dispersal",2020,9,7,"fresh",37.73471,-122.42081,NA,"coyote",NA,NA,NA,0.891678077
45,"S20_3837","20200907-TC-12","TC",28,78.6,72.2,544.3,4.36437169943516,4.27944004589878,6.29950056544015,"STMA","Bernal","Dispersal",2020,9,7,"fresh",37.73463,-122.4212,"coyote","fail","SFCoy46","Male","",0.158282209
47,"S21_0009","20201111-TC-01","TC",28,197.7,83.5,NA,5.28675073017657,4.42484663185681,NA,"STMA","Bernal","Mating",2020,11,11,"fresh",37.73469,-122.42151,"coyote","coyote","SFCoy14","Male","Yes",1
48,"S21_0010","20201111-TC-02","TC",28,82.9,101.7,635.7,4.41763506214125,4.62202730305451,6.45472675394236,"STMA","Bernal","Mating",2020,11,11,"fresh",37.73458,-122.42119,"coyote","coyote","SFCoy49","Male","",0
54,"S21_0022","20201111-TC-14","TC",28,125.3,293.8,425.1,4.83071086190202,5.68289926373978,6.05232443536474,"GLEN","Glen","Mating",2020,11,11,"fresh",37.74252,-122.44234,"coyote",NA,"SFCoy85","Female","Yes",0.471105528
55,"S21_0027","20201222-TC-02","TC",28,148.2,170.8,134.7,4.99856271286199,5.14049328135447,4.90305008341632,"TGPH","Coit","Mating",2020,12,22,"fresh",37.8028,-122.40641,"coyote",NA,"SFCoy47","Male","",1
57,"S21_0031","20201222-TC-06","TC",28,28.3,35.7,963.8,3.34286180464919,3.57515068878559,6.87088380420623,"BERN","Bernal","Mating",2020,12,22,"fresh",37.7431,-122.4109,"coyote",NA,"SFCoy14","Male","Yes",0
59,"S21_0033","20201222-TC-08","TC",28,716.3,237.8,120.1,6.57409907362041,5.47142998425668,4.78832472908594,"BERN","Bernal","Mating",2020,12,22,"fresh",37.74259,-122.41158,NA,NA,NA,NA,NA,1
62,"S21_3203","20210715-JK-395","JK",4,30.7,22.7,37.8,3.42426265459315,3.12236492448736,3.63230910262554,"TWIN","Glen","Dispersal",2021,7,15,"fresh",37.752554,-122.447492,NA,NA,NA,NA,NA,0
63,"S21_3204","20210716-JK-396","JK",4,53.1,58.1,15.4,3.97217692824789,4.06216566385787,2.73436750941958,"STMA","Bernal","Dispersal",2021,7,16,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0.983180428
64,"S21_3205","20210717-JK-397","JK",4,96.5,73.7,253.5,4.56954300834494,4.30000279919529,5.53536382303124,"STMA","Bernal","Dispersal",2021,7,17,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0
67,"S21_3208","20210717-JK-400","JK",4,69.7,58.1,221.7,4.24420031776648,4.06216566385787,5.40132511662227,"TGPH","Coit","Dispersal",2021,7,17,"fresh",37.802864,-122.406001,"coyote",NA,"SFCoy66","Female","Yes",0.842767296
68,"S21_3209","20210717-JK-401","JK",4,26.6,8.2,142.7,3.28091121578765,2.10413415427021,4.96074452448279,"TGPH","Coit","Dispersal",2021,7,17,"fresh",37.802864,-122.406001,NA,NA,NA,NA,NA,0.951081844
70,"S21_3211","20210718-JK-403","JK",4,47,39.6,92,3.85014760171006,3.67882911826043,4.52178857704904,"TWIN","Glen","Dispersal",2021,7,18,"fresh",37.752554,-122.447492,NA,NA,NA,NA,NA,0.541832669
73,"S21_3214","20210719-JK-406","JK",4,97.6,110.8,76.3,4.58087749341905,4.70772677431318,4.33467293829041,"STMA","Bernal","Dispersal",2021,7,19,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0.11627907
75,"S21_3216","20210720-JK-408","JK",4,110.1,116.1,157.8,4.70138904372863,4.75445188870385,5.06132840841177,"STMA","Bernal","Dispersal",2021,7,20,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0
77,"S21_3218","20210721-JK-410","JK",4,286.2,204,310.1,5.65669086712235,5.31811999384422,5.7368948261064,"GGPW","GGP - West","Dispersal",2021,7,21,"fresh",37.769507,-122.502638,NA,NA,NA,NA,NA,0.367799114
78,"S21_3221","20210722-JK-413","JK",4,111.3,174,155.4,4.7122292582815,5.15905529921453,5.04600243793355,"OLYM","Merced","Dispersal",2021,7,22,"fresh",37.705819,-122.493087,NA,NA,NA,NA,NA,0.223255814
79,"S21_3222","20210722-JK-414","JK",4,129.8,144.4,334,4.86599480426999,4.97258722645873,5.8111409929767,"SFGC","Merced","Dispersal",2021,7,22,"fresh",37.710304,-122.477567,NA,NA,NA,NA,NA,0.903225806
81,"S20_3693","20200720-TC-05","TC",31,142.6,126,68.4,4.9600435079802,4.83628190695148,4.22537282462851,"MCLA","McLaren","Dispersal",2020,7,20,"fresh",37.71798,-122.42185,"coyote","coyote","SFCoy26","Male","",0.483279089
82,"S20_3694","20200721-TC-01","TC",31,165.5,134.8,42.7,5.10897119481712,4.90379219847821,3.75419892023458,"GGPE","GGP - East","Dispersal",2020,7,21,"fresh",37.7711,-122.46906,"coyote","coyote","SFCoy89","Female","Yes",0.602518654
83,"S20_3695","20200721-TC-02","TC",31,262.5,130.1,140.4,5.57025108203168,4.86830338551846,4.94449549159171,"GGPE","GGP - East","Dispersal",2020,7,21,"fresh",37.77097,-122.46976,"coyote","coyote","SFCoy28","Male","Yes",0.951185592
84,"S20_3703","20200721-TC-10","TC",31,53.5,121.4,34.1,3.97968165390196,4.7990908786254,3.52929738428947,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76753,-122.44136,"coyote","coyote","SFCoy31","Female","Yes",0.054384411
86,"S20_3705","20200721-TC-12","TC",31,50.8,61.2,123.6,3.92789635458444,4.11414718951828,4.81705054502359,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76689,-122.44207,"coyote","coyote","SFCoy31","Female","Yes",0.370184849
87,"S20_3706","20200721-TC-13","TC",31,110.7,139.9,40.9,4.70682383971459,4.94092788167144,3.71113006304876,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76906,-122.44176,"coyote","coyote","SFCoy31","Female","Yes",0.005120702
88,"S20_3707","20200721-TC-14","TC",31,144,163,58,4.969813299576,5.09375020080676,4.06044301054642,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.76951,-122.44192,"coyote","coyote","SFCoy31","Female","Yes",0.418659952
89,"S20_3708","20200721-TC-15","TC",31,17.3,81.9,205.9,2.85070650150373,4.40549899085902,5.32739061403374,"BVP","Corona","Dispersal",2020,7,21,"fresh",37.77035,-122.44048,"coyote","coyote","SFCoy31","Female","Yes",0.243021346
90,"S20_3711","20200722-TC-03","TC",31,199,164.4,93.1,5.29330482472449,5.10230248262208,4.53367418428302,"TGPH","Coit","Dispersal",2020,7,22,"fresh",37.80289,-122.40554,"coyote","coyote","SFCoy109","Male","",0.18867078
91,"S20_3714","20200727-TC-01","TC",31,34.8,88.5,31.9,3.54961738678043,4.48300255201388,3.4626060097908,"OLYM","Merced","Dispersal",2020,7,27,"fresh",37.7046,-122.4886,"coyote","coyote","SFCoy95","Male","Yes",0
92,"S20_3717","20200727-TC-04","TC",31,26,56.3,52.7,3.25809653802148,4.03069453514564,3.96461545554732,"OLYM","Merced","Dispersal",2020,7,27,"fresh",37.70497,-122.49011,"coyote","coyote","SFCoy4","Male","Yes",0.081939163
94,"S20_3722","20200728-TC-03","TC",31,33.7,65.3,21,3.51749783735832,4.17899203628239,3.04452243772342,"LEND","Land's End","Dispersal",2020,7,28,"fresh",37.78406,-122.50578,"coyote","coyote","SFCoy12","Female","Yes",0.007962319
95,"S20_3729","20200729-TC-06","TC",31,579.4,221.1,85.8,6.36199308533525,5.3986150878634,4.45201900649392,"LAGU","Glen","Dispersal",2020,7,29,"fresh",37.74976,-122.45499,"coyote","coyote","SFCoy81","Female","Yes",0.511811024
97,"S20_3735","20200803-TC-06","TC",31,33,86.3,123.9,3.49650756146648,4.45782959808938,4.8194747886351,"SFGC","Merced","Dispersal",2020,8,3,"fresh",37.7101,-122.47407,"coyote","coyote","SFCoy175","Female","",0.103508517
100,"S20_3749","20200805-TC-01","TC",31,98.8,127.1,131.1,4.59309760475382,4.84497417819541,4.87596039076965,"PRES","Presidio","Dispersal",2020,8,5,"fresh",37.79348,-122.45705,"coyote",NA,"SFCoy33","Male","",0
101,"S20_3800","20200819-TC-04","TC",29,64.8,59.8,188.9,4.17130560335823,4.09100566095659,5.24121777450746,"PRES","Presidio","Dispersal",2020,8,19,"fresh",37.79233,-122.45067,"coyote","coyote","SFCoy33","Male","",0.946893424
104,"S20_3802","20200819-TC-06","TC",29,27.7,40.8,229,3.32143241319329,3.70868208141012,5.43372200355424,"PRES","Presidio","Dispersal",2020,8,19,"fresh",37.79216,-122.45056,"coyote","coyote","SFCoy40","Female","",0.484660876
109,"S20_3807","20200824-TC-04","TC",29,61.5,163.1,267.1,4.11903717481247,5.09436350962697,5.58762312011592,"MCLA","McLaren","Dispersal",2020,8,24,"fresh",37.71718,-122.4139,"coyote","coyote","SFCoy10","Female","Yes",0.993136423
110,"S20_3826","20200907-TC-01","TC",29,52.2,139.7,101.9,3.95508249488859,4.93949726626292,4.62399194022868,"GGPW","GGP - West","Dispersal",2020,9,7,"fresh",37.76674,-122.49829,"coyote","coyote","SFCoy52","Male","",0.932762448
114,"S20_3814","20200824-TC-11","TC",29,186.7,189.8,121,5.22950305054768,5.24597088617583,4.79579054559674,"STMA","Bernal","Dispersal",2020,8,24,"fresh",37.73463,-122.4212,NA,"fail",NA,NA,NA,0.625233645
115,"S20_3816","20200824-TC-13","TC",29,34.6,131.1,59.3,3.54385368206368,4.87596039076965,4.08260930600368,"STMA","Bernal","Dispersal",2020,8,24,"fresh",37.73398,-122.42019,"coyote","coyote","SFCoy44","Female","Yes",0.743220339
118,"S20_3822","20200824-TC-19","TC",29,6.1,23.9,64.8,1.80828877117927,3.17387845893747,4.17130560335823,"GLEN","Glen","Dispersal",2020,8,24,"fresh",37.74271,-122.44248,"coyote","coyote","SFCoy85","Female","Yes",0.15509457
122,"S21_3355","20210827-JK-494","JK",8,25.8,89.7,11.4,3.25037449192757,4.49647076906475,2.43361335540045,"STMA","Bernal","Dispersal",2021,8,27,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy122","Male","",1
127,"S21_3340","20210823-JK-479","JK",8,133.3,161.7,56.9,4.89260222718466,5.08574276658306,4.04129534113228,"STMA","Bernal","Dispersal",2021,8,23,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy128","Female","",0.928571429
134,"S21_3347","20210826-JK-486","JK",8,78.9,98.6,41.1,4.36818122785183,4.59107126160859,3.71600812150219,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy126","Female","",0.656675749
136,"S21_3349","20210826-JK-488","JK",8,223.3,829.1,67,5.40851615884611,6.72034077512217,4.20469261939097,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy122","Male","",0.214035088
137,"S21_3350","20210826-JK-489","JK",8,130.3,111.7,79.1,4.8698394841308,4.71581670607516,4.37071287477361,"STMA","Bernal","Dispersal",2021,8,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy126","Female","",0.439285714
142,"S21_3223","20210723-JK-415","JK",5,183.7,166.8,109.2,5.21330399222108,5.11679548992465,4.6931810633108,"STMA","Bernal","Dispersal",2021,7,23,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy119","Male","",0.198465146
143,"S21_3224","20210724-JK-416","JK",5,203.1,98,468.7,5.31369846858634,4.58496747867057,6.14996290492866,"LAKE","Merced","Dispersal",2021,7,24,"fresh",37.729695,-122.48071,"coyote",NA,"SFCoy61","Male","Yes",0.123754905
144,"S21_3225","20210725-JK-417","JK",5,163.1,245.8,82.8,5.09436350962697,5.50451819713193,4.41642806139121,"STMA","Bernal","Dispersal",2021,7,25,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0
145,"S21_3226","20210725-JK-418","JK",5,195.1,296.9,294,5.27351224762907,5.69339538176971,5.68357976733868,"STMA","Bernal","Dispersal",2021,7,25,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0.637540453
146,"S21_3227","20210725-JK-419","JK",5,143,162.4,159.6,4.96284463025991,5.09006242772758,5.07267068501571,"STMA","Bernal","Dispersal",2021,7,25,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy100","Male","",0.174329502
147,"S21_3228","20210725-JK-420","JK",5,78.1,162.8,38.2,4.35799005684564,5.09252245356844,3.64283551561253,"STMA","Bernal","Dispersal",2021,7,25,"fresh",37.734636,-122.421051,NA,NA,NA,NA,NA,0.369047619
148,"S21_3229","20210725-JK-421","JK",5,44.1,68.7,275.5,3.7864597824528,4.2297491992283,5.61858762859297,"SFGC","Merced","Dispersal",2021,7,25,"fresh",37.710304,-122.477567,NA,NA,NA,NA,NA,0
149,"S21_3230","20210726-JK-422","JK",5,265.8,351.8,60.7,5.58274414627915,5.86306283230346,4.10594369806545,"STMA","Bernal","Dispersal",2021,7,26,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy100","Male","",0.95245352
150,"S21_3231","20210727-JK-423","JK",5,45.6,67.3,57.6,3.81990771652034,4.20916023665068,4.05352256770185,"SFGC","Merced","Dispersal",2021,7,27,"fresh",37.710304,-122.477567,"coyote",NA,"SFCoy96","Female","Yes",0.759829968
151,"S21_3232","20210729-JK-425","JK",5,24,126,160.1,3.17805383034795,4.83628190695148,5.07579862000267,"STFA","St. Francis","Dispersal",2021,7,29,"fresh",37.73783347,-122.4709839,"coyote",NA,"SFCoy97","Female","Yes",0.805263158
152,"S21_3235","20210802-JK-428","JK",5,55.3,103.2,46.9,4.01277290852829,4.63666885304746,3.84801767545223,"SFGC","Merced","Dispersal",2021,8,2,"fresh",37.710304,-122.477567,"coyote",NA,"SFCoy116","Male","",0.980029955
153,"S21_3236","20210803-JK-429","JK",5,70,230.8,25.7,4.24849524204936,5.44155153463394,3.24649099190117,"STMA","Bernal","Dispersal",2021,8,3,"fresh",37.734636,-122.421051,"coyote",NA,"SFCoy126","Female","",1
