SampleID,Replicate,FieldID,Site,Area,Initials,Year,Month,Day,Condition,Lat,Long,Geno.Sp,Cytb_Sp
S20_3616,None,#71 LHS1,LAKE,Urban,JK,2019,8,7,fresh,37.729695,-122.48071,coyote,NA
S20_3617,None,#72 LkMd1,LAKE,Urban,JK,2019,9,7,fresh,37.72840428,-122.4935824,coyote,NA
S20_3618,None,#73 LkMd2,LAKE,Urban,JK,2019,9,8,fresh,37.72840428,-122.4935824,coyote,NA
S20_3619,None,#84 LkMd3,LAKE,Urban,JK,2020,2,9,fresh,37.729695,-122.48071,coyote,NA
S20_3620,None,#85 LkMd4,LAKE,Urban,JK,2020,2,18,fresh,37.729695,-122.48071,NA,NA
S20_3621,None,#86 LkMd5,LAKE,Urban,JK,2020,2,18,fresh,37.73079481,-122.4810035,coyote,NA
S20_3622,None,#91a LkMd6,LAKE,Urban,JK,2020,3,10,fresh,37.729695,-122.48071,coyote,NA
S20_3623,None,#91b LkMd7,LAKE,Urban,JK,2020,3,10,fresh,37.729695,-122.48071,coyote,NA
S20_3624,None,#74 GC1,GLEN,Urban,JK,2019,9,18,fresh,37.744329,-122.446116,coyote,NA
S20_3625,None,#75 GC2,GLEN,Urban,JK,2019,9,22,fresh,37.74348,-122.442157,coyote,NA
S20_3626,None,#76 GC3,GLEN,Urban,JK,2019,9,28,fresh,37.741466,-122.441135,coyote,NA
S20_3627,None,#77 GC4,GLEN,Urban,JK,2019,11,22,fresh,37.741466,-122.441135,coyote,NA
S20_3628,None,#78 GC5,GLEN,Urban,JK,2019,11,30,fresh,37.741466,-122.441135,coyote,NA
S20_3629,None,#79 GC6,GLEN,Urban,JK,2019,12,14,fresh,37.744329,-122.446116,coyote,NA
S20_3630,None,#80 GC7,GLEN,Urban,JK,2019,12,15,fresh,37.74348,-122.442157,coyote,NA
S20_3631,None,#83 GC8,GLEN,Urban,JK,2020,2,10,fresh,37.744329,-122.446116,NA,NA
S20_3632,None,#87 GC9,GLEN,Urban,JK,2020,2,25,fresh,37.74348,-122.442157,coyote,NA
S20_3633,None,#92 GC10,GLEN,Urban,JK,2020,3,12,fresh,37.744329,-122.446116,NA,NA
S20_3634,None,#81 LFYT1,LAFY,Urban,JK,2020,1,1,fresh,37.790983,-122.427564,coyote,NA
S20_3635,None,#82 LFYT2,LAFY,Urban,JK,2020,1,1,fresh,37.791726,-122.426928,coyote,NA
S20_3636,None,#88 BVP3,BVP,Urban,JK,2020,2,29,fresh,37.76804,-122.442873,NA,NA
S20_3637,None,#89 BVP4,BVP,Urban,JK,2020,2,29,fresh,37.76804,-122.442873,coyote,NA
S20_3638,None,#95 BV5,BVP,Urban,JK,2020,3,17,fresh,37.769026,-122.439509,coyote,NA
S20_3639,None,#90 BH6,BVP,Urban,JK,2020,3,7,fresh,37.769026,-122.439509,coyote,NA
S20_3640,None,#93a BH8,BERN,Urban,JK,2020,3,14,fresh,37.74251,-122.41194,coyote,NA
S20_3641,None,#93b BH8,BERN,Urban,JK,2020,3,14,fresh,37.74251,-122.41194,NA,NA
S20_3642,None,#94 P5,PRES,Urban,JK,2020,3,14,fresh,37.797825,-122.461727,coyote,NA
S20_3645,None,20200302-DH-01,PRES,Urban,DH,2020,3,2,fresh,NA,NA,NA,coyote
S20_3646,None,20200310-DH-01,PRES,Urban,DH,2020,3,10,fresh,37.795778,-122.469656,NA,dog
S20_3647,None,20200417-DH-01,PRES,Urban,DH,2020,4,17,fresh,37.796938,-122.464181,coyote,coyote
S20_3648,None,20200501-DH-01,PRES,Urban,DH,2020,5,1,not fresh,37.795873,-122.464049,coyote,coyote
S20_3649,None,20200710-TC-01,GLEN,Urban,TC,2020,7,10,not fresh,37.74162,-122.44117,NA,canine/messy
S20_3650,None,20200710-TC-02,GLEN,Urban,TC,2020,7,10,not fresh,37.73851,-122.44043,coyote,coyote
S20_3651,None,20200710-TC-03,GLEN,Urban,TC,2020,7,10,<2 days,37.74223,-122.44439,NA,coyote
S20_3652,None,20200710-TC-04,BVP,Urban,TC,2020,7,10,not fresh,37.76649,-122.4418,coyote,coyote
S20_3653,None,20200710-TC-05,BVP,Urban,TC,2020,7,10,not fresh,37.76671,-122.44188,coyote,coyote
