Individual,Sex,Breeder
SFCoy1,Female,No
SFCoy10,Female,Yes
SFCoy100,Male,No
SFCoy102,Female,No
SFCoy103,Male,No
SFCoy104,Male,No
SFCoy105,Female,No
SFCoy106,Male,No
SFCoy107,Male,Yes
SFCoy108,Male,No
SFCoy109,Male,No
SFCoy11,Male,No
SFCoy110,Female,No
SFCoy111,Male,No
SFCoy112,Female,No
SFCoy113,Female,No
SFCoy114,Female,No
SFCoy115,Male,No
SFCoy116,Male,No
SFCoy117,Female,No
SFCoy118,Female,No
SFCoy119,Male,No
SFCoy12,Female,Yes
SFCoy120,Female,No
SFCoy121,Female,No
SFCoy122,Male,No
SFCoy123,Male,No
SFCoy125,Male,No
SFCoy126,Female,No
SFCoy127,Male,No
SFCoy128,Female,No
SFCoy129,Female,No
SFCoy13,Male,Yes
SFCoy133,Female,No
SFCoy135,Female,No
SFCoy137,Male,No
SFCoy14,Male,Yes
SFCoy142,Female,No
SFCoy143,Male,No
SFCoy144,Male,No
SFCoy148,Female,No
SFCoy15,Female,Yes
SFCoy151,Male,No
SFCoy152,Male,No
SFCoy155,Male,No
SFCoy157,Female,No
SFCoy16,Male,Yes
SFCoy161,Male,No
SFCoy162,Male,No
SFCoy167,Female,No
SFCoy169,Male,No
SFCoy17,Male,No
SFCoy170,Male,No
SFCoy174,Male,No
SFCoy175,Female,No
SFCoy178,Female,No
SFCoy18,Female,Yes
SFCoy181,Female,Yes
SFCoy185,Male,No
SFCoy186,Female,No
SFCoy187,Female,No
SFCoy188,Female,No
SFCoy189,Female,No
SFCoy190,Female,No
SFCoy191,Male,No
SFCoy192,Male,No
SFCoy193,Female,No
SFCoy194,Male,No
SFCoy195,Male,No
SFCoy196,Male,No
SFCoy197,Female,No
SFCoy198,Female,No
SFCoy199,Male,No
SFCoy2,Male,Yes
SFCoy20,Male,No
SFCoy200,Male,No
SFCoy201,Male,No
SFCoy202,Male,No
SFCoy203,Female,No
SFCoy204,Male,No
SFCoy205,Female,No
SFCoy206,Male,No
SFCoy207,Male,No
SFCoy208,Female,No
SFCoy209,Male,No
SFCoy21,Female,No
SFCoy210,Female,No
SFCoy211,Male,No
SFCoy212,Female,No
SFCoy213,Male,No
SFCoy214,Male,No
SFCoy215,Male,No
SFCoy216,Male,No
SFCoy217,Male,No
SFCoy218,Female,No
SFCoy219,Male,No
SFCoy220,Male,No
SFCoy221,Female,No
SFCoy222,Female,No
SFCoy223,Female,No
SFCoy224,Male,No
SFCoy225,Female,No
SFCoy226,Male,No
SFCoy230,Male,No
SFCoy231,Male,No
SFCoy232,Male,No
SFCoy233,Male,No
SFCoy234,Female,No
SFCoy235,Male,No
SFCoy236,Female,No
SFCoy237,Male,No
SFCoy238,Male,No
SFCoy24,Female,Yes
SFCoy241,Female,No
SFCoy242,Male,No
SFCoy243,Male,No
SFCoy245,Male,No
SFCoy246,Male,No
SFCoy247,Male,Yes
SFCoy248,Male,No
SFCoy249,Female,No
SFCoy25,Male,Yes
SFCoy250,Female,No
SFCoy251,Male,No
SFCoy252,Female,No
SFCoy253,Female,No
SFCoy254,Male,No
SFCoy255,Female,No
SFCoy256,Female,No
SFCoy257,Male,No
SFCoy258,Female,No
SFCoy259,Male,No
SFCoy26,Male,No
SFCoy260,Male,No
SFCoy28,Male,Yes
SFCoy3,Female,No
SFCoy31,Female,Yes
SFCoy32,Male,No
SFCoy33,Male,No
SFCoy35,Female,No
SFCoy36,Female,No
SFCoy37,Female,No
SFCoy39,Female,No
SFCoy4,Male,Yes
SFCoy40,Female,No
SFCoy41,Male,No
SFCoy42,Male,Yes
SFCoy44,Female,Yes
SFCoy45,Female,No
SFCoy46,Male,No
SFCoy47,Male,No
SFCoy49,Male,No
SFCoy5,Female,No
SFCoy50,Male,No
SFCoy52,Male,No
SFCoy53,Male,Yes
SFCoy54,Female,No
SFCoy55,Male,Yes
SFCoy56,Female,No
SFCoy58,Female,No
SFCoy6,Female,No
SFCoy60,Female,Yes
SFCoy61,Male,Yes
SFCoy63,Male,Yes
SFCoy64,Female,No
SFCoy66,Female,Yes
SFCoy67,Female,No
SFCoy69,Female,No
SFCoy7,Male,No
SFCoy70,Female,No
SFCoy71,Female,No
SFCoy72,Male,No
SFCoy73,Male,Yes
SFCoy74,Female,No
SFCoy76,Female,No
SFCoy77,Female,No
SFCoy78,Male,No
SFCoy8,Male,No
SFCoy80,Male,Yes
SFCoy81,Female,Yes
SFCoy85,Female,Yes
SFCoy86,Female,No
SFCoy87,Male,No
SFCoy88,Male,No
SFCoy89,Female,Yes
SFCoy9,Male,No
SFCoy90,Female,No
SFCoy93,Male,Yes
SFCoy94,Male,No
SFCoy95,Male,Yes
SFCoy96,Female,Yes
SFCoy97,Female,Yes
SFCoy99,Male,No
SFCoy261,Male,No
SFCoy262,Male,No
SFCoy263,Male,No
SFCoy264,Male,No
SFCoy265,Male,No
SFCoy266,Female,No
