Code,Collector,Number,Date,Bag,T3,T4,GC
1,DG,02,7/13/2021,1,51.1,51.6,151.4
2,TC,01,7/13/2021,1,155.7,162.7,160.6
3,DG,01,7/13/2021,1,78.3,95,197.7
4,TC,04,7/13/2021,1,73.1,74.9,79.9
5,TC,03,7/13/2021,1,384.8,223.6,171.5
6,TC,05,7/12/2021,1,61.5,87.9,421.7
7,TC,07,7/13/2021,1,89.8,126.2,233.7
8,TC,10,7/12/2021,1,401.1,198,424.4
9,TC,08,7/13/2021,1,140.7,155.1,136.8
10,TC,09,7/12/2021,1,74.7,172.6,95.9
11,TC,11,7/12/2021,1,199.7,157.7,127.3
12,TC,08,7/12/2021,1,55.2,116.6,87.4
13,TC,06,7/12/2021,1,83.2,138.3,279.3
14,TC,07,7/12/2021,1,120.2,149.6,153.6
15,TC,05,7/13/2021,1,245.7,264.8,629.5
16,TC,09,7/13/2021,1,53.1,42,163.6
17,TC,06,7/13/2021,1,55.4,45.7,240.5
18,TC,03,7/14/2021,1,46.5,40,104.6
19,TC,06,7/14/2021,1,46.8,55.9,14.8
20,TC,04,7/14/2021,1,63.9,74.3,25.5
21,TC,04,8/12/2020,30,9.9,21.2,7.8
22,TC,02,8/12/2020,30,32.1,59.9,143.6
23,TC,12,8/10/2020,30,240.6,378.8,620.1
24,TC,01,8/17/2020,30,38.1,92.8,22.9
25,TC,07,8/10/2020,30,32.1,68.5,163.9
26,TC,01,8/12/2020,30,56.3,84.2,192.9
27,TC,09,8/10/2020,30,156.5,175.3,234.9
28,TC,06,8/5/2020,30,12.6,42.8,170.5
29,TC,08,8/12/2020,30,24.1,38.7,60.2
30,TC,05,8/12/2020,30,9.1,39.6,148.2
31,TC,02,8/10/2020,30,159.4,340.6,64.4
32,TC,06,8/12/2020,30,42.4,29.8,32.3
33,TC,17,8/10/2020,30,131.4,177.1,270.1
34,TC,07,8/12/2020,30,29.6,40.2,79.9
35,TC,11,8/10/2020,30,50.4,54.1,44.3
36,TC,05,8/10/2020,30,95.8,87,129.3
37,TC,06,8/10/2020,30,27.3,75.6,10.7
38,TC,04,8/10/2020,30,58.2,266.2,133.5
39,TC,01,8/10/2020,30,93.6,116.2,121.1
