SampleID,Individual
S18_1190,SFCoy1
S18_2363,SFCoy1
S18_2362,SFCoy1
S18_1204,SFCoy10
S18_2347,SFCoy10
S19_5654,SFCoy10
S19_5655,SFCoy10
S20_3807,SFCoy10
S21_2044,SFCoy100
S21_2043,SFCoy100
S21_3227,SFCoy100
S21_3230,SFCoy100
S21_3312,SFCoy100
S21_3323,SFCoy100
S21_3353,SFCoy100
S21_3344,SFCoy100
S21_3364,SFCoy100
S21_4933,SFCoy100
S21_5092,SFCoy100
S21_5099,SFCoy100
S21_5103,SFCoy100
S21_5102,SFCoy100
S21_5110,SFCoy100
S22_0865,SFCoy100
S21_2055,SFCoy102
S21_2377,SFCoy102
S21_2375,SFCoy102
S21_2057,SFCoy103
S21_2376,SFCoy103
S21_3272,SFCoy103
S21_3276,SFCoy103
S21_5041,SFCoy103
S21_5045,SFCoy103
S21_5052,SFCoy103
S21_5061,SFCoy103
S22_0901,SFCoy103
S22_0902,SFCoy103
S23_0157,SFCoy103
S21_2067,SFCoy104
S21_2074,SFCoy105
S19_8780,SFCoy106
S18_2344,SFCoy106
S18_2346,SFCoy107
S18_2351,SFCoy108
S18_2350,SFCoy108
S18_2352,SFCoy108
S18_2354,SFCoy108
S18_2357,SFCoy108
S19_5648,SFCoy108
S18_2356,SFCoy109
S18_2355,SFCoy109
S20_3617,SFCoy109
S21_0099,SFCoy109
S21_0098,SFCoy109
S21_0097,SFCoy109
S20_3682,SFCoy109
S20_3680,SFCoy109
S20_3712,SFCoy109
S20_3711,SFCoy109
S21_1206,SFCoy109
S20_3632,SFCoy11
S21_3408,SFCoy110
S21_3407,SFCoy110
S21_3418,SFCoy111
S21_4902,SFCoy111
S21_4905,SFCoy111
S21_4910,SFCoy111
S21_4909,SFCoy112
S21_4929,SFCoy112
S21_4927,SFCoy112
S21_4972,SFCoy112
S21_4967,SFCoy112
S21_4963,SFCoy112
S21_4986,SFCoy112
S21_4984,SFCoy112
S21_4898,SFCoy113
S21_4896,SFCoy113
S21_4937,SFCoy113
S21_4944,SFCoy113
S21_4953,SFCoy113
S21_4951,SFCoy113
S21_4950,SFCoy113
S21_4954,SFCoy113
S21_4968,SFCoy113
S21_4965,SFCoy113
S21_4962,SFCoy113
S21_1113,SFCoy114
S21_2411,SFCoy114
S21_2346,SFCoy114
S21_2345,SFCoy114
S22_0864,SFCoy114
S22_0891,SFCoy114
S22_0998,SFCoy114
S21_3275,SFCoy115
S21_3274,SFCoy115
S21_3277,SFCoy115
S21_3281,SFCoy115
S21_5050,SFCoy115
S22_0831,SFCoy115
S21_2348,SFCoy116
S21_2347,SFCoy116
S21_3235,SFCoy116
S21_3239,SFCoy117
S21_4947,SFCoy117
S21_4920,SFCoy118
S21_5031,SFCoy118
S21_5025,SFCoy118
S21_5111,SFCoy118
S21_5117,SFCoy118
S21_2082,SFCoy119
S21_2364,SFCoy119
S21_2360,SFCoy119
S21_3223,SFCoy119
S21_3174,SFCoy119
S21_3299,SFCoy119
S21_3298,SFCoy119
S21_3297,SFCoy119
S21_3296,SFCoy119
S21_3301,SFCoy119
S21_3332,SFCoy119
S21_3341,SFCoy119
S21_3354,SFCoy119
S21_3352,SFCoy119
S21_3362,SFCoy119
S21_3359,SFCoy119
S21_3380,SFCoy119
S21_3391,SFCoy119
S21_3390,SFCoy119
S21_3398,SFCoy119
S21_3411,SFCoy119
S22_0999,SFCoy119
S19_8785,SFCoy12
S20_3635,SFCoy12
S20_3634,SFCoy12
S21_0130,SFCoy12
S21_0134,SFCoy12
S21_0137,SFCoy12
S20_3685,SFCoy12
S20_3684,SFCoy12
S20_3722,SFCoy12
S20_3721,SFCoy12
S21_0053,SFCoy12
S21_0052,SFCoy12
S21_1134,SFCoy12
S21_1137,SFCoy12
S21_1168,SFCoy12
S21_0138,SFCoy12
S21_0002,SFCoy12
S21_1221,SFCoy12
S21_1224,SFCoy12
S21_1226,SFCoy12
S21_1229,SFCoy12
S21_1234,SFCoy12
S21_1213,SFCoy12
S21_1309,SFCoy12
S21_2063,SFCoy12
S21_1282,SFCoy12
S21_2050,SFCoy12
S21_2047,SFCoy12
S21_2368,SFCoy12
S21_2076,SFCoy120
S21_2393,SFCoy121
S21_3410,SFCoy121
S21_3417,SFCoy121
S21_4899,SFCoy121
S21_4907,SFCoy121
S21_4908,SFCoy121
S21_4949,SFCoy121
S21_4948,SFCoy121
S21_4957,SFCoy121
S21_4956,SFCoy121
S21_4955,SFCoy121
S21_4964,SFCoy121
S21_2365,SFCoy122
S21_3316,SFCoy122
S21_3337,SFCoy122
S21_3349,SFCoy122
S21_3355,SFCoy122
S21_3366,SFCoy122
S21_3382,SFCoy122
S21_4970,SFCoy122
S22_0888,SFCoy122
S22_0870,SFCoy122
S21_3244,SFCoy123
S21_5095,SFCoy123
S22_0877,SFCoy123
S21_4911,SFCoy125
S21_4930,SFCoy125
S21_4928,SFCoy125
S21_4926,SFCoy125
S21_4975,SFCoy125
S21_4983,SFCoy125
S21_4981,SFCoy125
S22_0851,SFCoy125
S21_2401,SFCoy126
S21_3236,SFCoy126
S21_3173,SFCoy126
S21_3167,SFCoy126
S21_3166,SFCoy126
S21_3350,SFCoy126
S21_3347,SFCoy126
S21_3346,SFCoy126
S21_3363,SFCoy126
S21_3403,SFCoy126
S21_4923,SFCoy126
S21_5093,SFCoy126
S21_5101,SFCoy126
S21_5106,SFCoy126
S21_4919,SFCoy127
S21_4918,SFCoy127
S21_5032,SFCoy127
S21_5116,SFCoy127
S21_5126,SFCoy127
S22_0892,SFCoy127
S22_1000,SFCoy127
S22_1004,SFCoy127
S22_1005,SFCoy127
S21_3207,SFCoy128
S21_3172,SFCoy128
S21_3170,SFCoy128
